Suppose best relative offset = 0,0 (best_n=0, input_spots=896, reference_spots=0)
Suppose best relative offset = 16,0 (best_n=778, input_spots=896, reference_spots=64009)
Suppose best relative offset = 16,0 (best_n=768, input_spots=896, reference_spots=128018)
Suppose best relative offset = 0,0 (best_n=831, input_spots=896, reference_spots=128018)
Suppose best relative offset = 0,0 (best_n=832, input_spots=896, reference_spots=128018)
Suppose best relative offset = 1,0 (best_n=820, input_spots=896, reference_spots=128018)
Suppose best relative offset = 0,0 (best_n=822, input_spots=896, reference_spots=128018)
Suppose best relative offset = 0,0 (best_n=822, input_spots=896, reference_spots=128018)
Suppose best relative offset = 0,0 (best_n=824, input_spots=896, reference_spots=128018)
Suppose best relative offset = 6,0 (best_n=790, input_spots=896, reference_spots=128018)
Suppose best relative offset = 1,0 (best_n=833, input_spots=896, reference_spots=128018)
Suppose best relative offset = 2,0 (best_n=811, input_spots=896, reference_spots=128018)
Suppose best relative offset = 1,0 (best_n=821, input_spots=896, reference_spots=128018)
Suppose best relative offset = 2,0 (best_n=812, input_spots=896, reference_spots=128018)
Suppose best relative offset = 1,0 (best_n=807, input_spots=896, reference_spots=128018)
Suppose best relative offset = 1,0 (best_n=805, input_spots=896, reference_spots=128018)
Suppose best relative offset = 2,0 (best_n=815, input_spots=896, reference_spots=128018)
Suppose best relative offset = 1,0 (best_n=801, input_spots=896, reference_spots=128018)
Suppose best relative offset = 1,0 (best_n=810, input_spots=896, reference_spots=128018)
Suppose best relative offset = 2,0 (best_n=805, input_spots=896, reference_spots=128018)
Suppose best relative offset = 1,0 (best_n=809, input_spots=896, reference_spots=128018)
Suppose best relative offset = 2,0 (best_n=820, input_spots=896, reference_spots=128018)
